               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069163,            0.020288,            0.057187,             0.13599,              0.8201,             0.16073,             0.10641,            0.023756,           0.0059788,            0.036907,           0.0033122,           0.0033122,             0.07019
                   1,            0.041076,            0.014241,            0.054253,             0.12165,             0.77101,             0.17355,             0.10293,             0.02647,            0.003946,            0.036633,           0.0053297,           0.0053297,            0.038874
                   2,            0.035438,             0.01125,            0.053637,             0.13392,             0.99047,             0.22132,             0.14216,            0.020383,           0.0033158,            0.036205,           0.0060273,           0.0060273,           0.0062382
                   3,            0.028703,            0.010027,            0.052097,             0.25868,             0.81621,              0.4109,             0.33141,             0.01211,           0.0029055,            0.031913,             0.00406,             0.00406,             0.00406
                   4,             0.02769,           0.0093563,            0.047373,             0.50306,             0.68027,             0.60028,             0.48071,             0.01243,           0.0027457,            0.026056,             0.00406,             0.00406,             0.00406
